Station;Chlorophyll_c3;Chlorophyllid_a;Chlorophyll_c2;Chlorophyll_c1;Peridinine;Fucoxanthine;Prasinoxanthine;Violaxanthine;Diadinoxanthine;Alloxanthine;Zeaxanthine;Chlorophyll_b;Chlorophyll_a;Pheophytine;Beta_Carotene
PT01;0;0;1.2388953845;0;0.561899154;0.418266423;0;0;0.2298404615;1.6639616925;0;0;11.18615396;0;0.317740423
PT02;0;0;0.8782426925;0;0.390015077;0.291113923;0;0;0.1992358845;1.3539325385;0;0;8.6054998075;0;0.257267846
PT03;0;0;0.437288487333333;0;0.409676589666667;0.246259897333333;0;0;0.168202051333333;0.504474512666667;0;0;3.388153795;0;0.0873383333333333
PT04;0;0;0.695630718;0;0.342094051333333;0.212031718;0;0;0.152597615333333;0.980741077;0;0;5.70946161533333;0;0.196999769333333
PT05;0;0;2.01734489733333;0;0.724018102666667;0.354084615333333;0;0;0.357297615333333;3.04423853833333;0;0;18.9486153333333;0;0.525017410333333
PT06;0;0;2.58317761533333;0;0.765861487333333;0.275641;0;0;0.330737871666667;3.96495889733333;0;0;24.40953823;0.101302666666667;0.728109077
PT07;0;0;0.6414145;0;0.4600345;0.291166;0;0;0.188357;0.8590555;0;0;4.821923;0;0.1551035
PT08;0;0;1.705219;0;0.663686;0.179387;0;0;0.298748;3.0834805;0;0;14.5263465;0.1373075;0.5158425
PT09;0;0;0.8870795;0;0.3626249615;0.2431368075;0;0;0.1698463075;1.317211346;0;0;7.8638846155;0;0.267812577
