Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Tele_tot\Tele_PE;Tele80_3VP2022-11-18.0001\Tele_tot\Tele_PE;Tele80_3;10:46;2022-Nov-18;91,37;69673;696730,04;36,45;408,12;51,38;53,17;145,61;142,5;3,13;70,3;6,96;6,69;15,54;14,3;1,74;890,61;19,16;3,35;12,81;11,25;11;215,89;8,77;8,4;31,5;29,75
Tele_tot\Tele_PE;Tele80_3VP2022-11-17.0001\Tele_tot\Tele_PE;Tele80_3;10:59;2022-Nov-17;66,09;45497;303313,32;36,67;398,93;47,18;47,45;152,24;148,75;3,34;64,11;7,45;7,06;15,8;14,29;1,58;973,56;41,78;4,19;18,65;12,82;9,24;173,26;10,41;9,22;33,4;31,79
Tele_tot\Tele_PE;Tele80_3VP2022-11-16.0001\Tele_tot\Tele_PE;Tele80_3;11:16;2022-Nov-16;65,06;29200;194666,67;37,11;366,92;45,69;47,37;140,95;137,54;3,24;57,65;6,84;6,59;15,5;14,12;1,71;1367,55;62,46;6,91;31,3;23,13;12,73;227,76;12,11;10,56;43,96;41,66
Tele_tot\Tele_PE;Tele80_2VP2022-11-18.0001\Tele_tot\Tele_PE;Tele80_2;10:39;2022-Nov-18;79,46;70580;705799,99;36,83;412,66;44,57;44,66;149,55;146,46;3,38;68,28;6,69;6,48;15,2;13,98;1,9;566,77;17,95;3,53;13,47;11,92;9,67;128,99;8,4;8,22;31,54;29,91
Tele_tot\Tele_PE;Tele80_2VP2022-11-17.0001\Tele_tot\Tele_PE;Tele80_2;10:48;2022-Nov-17;66,75;47332;315546,69;37,81;365,56;47,79;47,79;152,34;148,68;3,11;71,44;7,52;7,12;16,05;14,54;1,62;878,33;42,69;4,5;19,29;12,92;9,09;173,21;10,55;9,33;33,35;31,67
Tele_tot\Tele_PE;Tele80_2VP2022-11-16.0001\Tele_tot\Tele_PE;Tele80_2;11:33;2022-Nov-16;65,81;28180;187866,67;39,11;326,59;44,37;45,65;136,7;133,22;3,67;73,38;6,81;6,47;15,39;14;1,67;1124,15;51,37;6,57;28,14;21,98;11,51;190,13;11,21;10,48;43,52;41,5
Tele_tot\Tele_PE;Tele80_1VP2022-11-18.0001\Tele_tot\Tele_PE;Tele80_1;10:31;2022-Nov-18;78,9;67682;676820,07;36,78;418,43;45;45,36;151,35;148,8;3,34;62,04;6,68;6,47;15,42;14,21;1,71;1155,78;16,67;3,67;13,67;12,26;9,96;226,8;8,52;8,28;31,55;29,9
Tele_tot\Tele_PE;Tele80_1VP2022-11-17.0001\Tele_tot\Tele_PE;Tele80_1;10:36;2022-Nov-17;61,77;42648;284320,01;36,49;383,04;47,97;48,99;152,88;150,01;3,39;60,46;7,52;7,18;16,41;14,97;1,64;904,3;39,04;4,67;19,27;13,55;9,9;179,81;10,56;9,34;33,45;31,75
Tele_tot\Tele_PE;Tele80_1VP2022-11-16.0001\Tele_tot\Tele_PE;Tele80_1;11:12;2022-Nov-16;63,63;31501;210006,67;37,04;339,67;45,31;46,75;139,03;135,14;3,69;66,65;6,72;6,41;15,09;13,69;1,73;1140,16;55,05;6,9;30,43;23,13;11,2;225,42;11,71;10,43;43,67;41,61
Tele_tot\Tele_PE;Tele200_3VP2022-11-18.0001\Tele_tot\Tele_PE;Tele200_3;10:49;2022-Nov-18;77,79;90596;905960,02;36,65;423,31;49,09;49,33;172,16;170,19;3,46;70,9;7,38;7,12;17,88;16,57;1,64;625,97;9,89;2,15;8,2;7,23;8,5;141,75;6,72;6,67;26,74;25,47
Tele_tot\Tele_PE;Tele200_3VP2022-11-17.0001\Tele_tot\Tele_PE;Tele200_3;11:03;2022-Nov-17;65,28;46377;309223,3;37,2;399,8;48,08;48,49;155,72;152,66;3,48;68,66;7,56;7,31;16,61;15,17;1,84;815,24;38,04;4,34;18,09;12,26;8,28;158,97;10,08;8,95;32,12;30,37
Tele_tot\Tele_PE;Tele200_3VP2022-11-16.0001\Tele_tot\Tele_PE;Tele200_3;11:24;2022-Nov-16;62,65;30076;200506,67;37,13;354,94;45,09;46,59;137,85;134,39;3,63;74,61;6,79;6,45;15,36;13,98;1,61;1141,75;56,28;6,62;29,51;22,42;11,36;196,53;11,6;10,4;43,62;41,42
Tele_tot\Tele_PE;Tele200_2VP2022-11-18.0001\Tele_tot\Tele_PE;Tele200_2;10:42;2022-Nov-18;77;81919;819190,06;36,49;411,7;48,94;49,16;172,82;171,19;3,56;73,3;7,3;7,04;17,83;16,61;1,75;610,53;9,92;2,26;8,66;7,62;8,35;147,3;6,66;6,53;26,7;25,53
Tele_tot\Tele_PE;Tele200_2VP2022-11-17.0001\Tele_tot\Tele_PE;Tele200_2;10:51;2022-Nov-17;63,77;46342;308946,66;37,81;406,78;47,92;48,14;154,77;151,78;3,46;68,16;7,56;7,28;16,83;15,38;1,68;1106,26;40,93;4,71;19;12,75;9,12;189,23;10,41;9,06;32,47;30,73
Tele_tot\Tele_PE;Tele200_2VP2022-11-16.0001\Tele_tot\Tele_PE;Tele200_2;11:37;2022-Nov-16;65,77;28758;191720;37,81;323,57;44,45;46,07;136,67;133,17;3,82;68,85;6,86;6,57;15,49;14,12;1,92;1201,21;56,69;6,49;29,18;21,81;10,68;208,22;11,52;10,5;43,68;41,52
