Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Meso_PE;Meso80PR_3VP2022-11-25.0001\Meso_PE;Meso80PR_3;13:05;2022-Nov-25;25,11;956;6432,25;13,55;104,58;17,13;18,44;46,11;48,24;0,5;59,96;12,4;14,61;19,39;20,85;3,58;163,25;20,5;13,31;20,13;12,15;2,98;127,22;29,15;35,24;63,61;70,85
Meso_PE;Meso80PR_2VP2022-11-25.0001\Meso_PE;Meso80PR_2;13:03;2022-Nov-25;30,46;1145;7722,4;13,56;155,24;18,14;19,47;45,28;46,42;0,48;59,36;12,2;13,98;17,97;19,67;2,87;187,83;23,48;15,07;22,12;12,16;5,95;144,15;29,38;34,64;60,58;67,16
Meso_PE;Meso80PR_1VP2022-11-25.0001\Meso_PE;Meso80PR_1;13:01;2022-Nov-25;30,63;1243;8343,4;13,63;121,61;17,17;18,84;46,48;48,78;0,31;63,4;13,14;15,61;20,21;22,47;2,66;166,36;20,01;11,36;20,07;12,6;3,95;142,66;29,49;35,64;61,91;68,83
Meso_PE;Meso80_3VP2022-11-27.0001\Meso_PE;Meso80_3;10:30;2022-Nov-27;33,71;2090;13970,12;13,61;121,33;17,2;19,07;43,12;44,76;0,34;56,77;12,68;14,21;17,57;18,67;2,52;183,19;20,76;15,36;23,36;13,88;5,04;144,37;31,39;36,19;57,53;65,08
Meso_PE;Meso80_3VP2022-11-25.0001\Meso_PE;Meso80_3;11:25;2022-Nov-25;31,1;2668;17813,86;13,68;148,22;17,18;18,79;45,04;45,97;0,51;68,14;12,42;14,19;19,02;20,07;2,86;166,6;20,76;11,77;19,76;11,63;5,29;147,68;29,86;35,52;60,05;67,34
Meso_PE;Meso80_3BC2022-11-28.0001\Meso_PE;Meso80_3;12:49;2022-Nov-28;17,18;2462;16445,24;13,67;142,86;15,43;14,95;48,37;48,96;0,25;70,51;12,29;13,56;23,75;24,6;3,54;158,19;13,59;4,93;15,45;11,82;5,38;149,5;27,45;28,62;68,12;72,65
Meso_PE;Meso80_2VP2022-11-27.0001\Meso_PE;Meso80_2;10:28;2022-Nov-27;49,38;2728;18255,06;13,63;103,37;16,95;18,69;44,04;45,42;0,4;57,61;12,7;14,52;18,45;19,49;2,58;182,87;18,48;14,11;21,45;13,41;5,54;131,21;29,75;35,17;57,73;64,54
Meso_PE;Meso80_2VP2022-11-25.0001\Meso_PE;Meso80_2;11:23;2022-Nov-25;46,36;2432;16402,51;13,51;99,43;16,92;18,49;43,99;44,71;0,48;63,45;12,16;13,73;18,15;18,9;2,93;190,04;21,03;13,12;20,2;11,71;4,14;145,54;30,16;35,5;58,7;65,48
Meso_PE;Meso80_2BC2022-11-28.0001\Meso_PE;Meso80_2;12:47;2022-Nov-28;32,93;3240;21657,03;13,63;123,65;14,84;14,21;49,86;50,15;0,58;80,48;12,31;11,61;26,06;26,45;2,45;163,76;12,41;4,59;15,55;12,59;4,5;153,09;25,19;22,35;69,15;72,11
Meso_PE;Meso80_1VP2022-11-27.0001\Meso_PE;Meso80_1;10:26;2022-Nov-27;35,74;2608;17444,82;13,52;135,68;17,34;19,24;44,29;45,88;0,39;60,66;13,07;14,46;18,67;19,87;2,75;156,88;18,55;13,84;21,33;13,25;4,53;145,47;29,44;34,44;56,62;62,55
Meso_PE;Meso80_1VP2022-11-25.0001\Meso_PE;Meso80_1;11:21;2022-Nov-25;33,92;2710;18170,12;13,61;105,9;15,49;15,03;47,79;48,98;0,42;73,63;11,92;12,07;23,69;24,77;2,36;166,75;14,8;4,57;14,92;10,8;3,12;143,59;26,62;24,95;68,42;72,65
Meso_PE;Meso80_1BC2022-11-28.0001\Meso_PE;Meso80_1;12:45;2022-Nov-28;19,06;2828;18882,16;13,5;140,21;14,99;13,77;50,39;50,58;0,57;73,7;12,78;12,09;27,67;28,19;3,25;142,99;12,71;4,67;15,78;12,85;5,77;151,51;25,2;22,11;71,03;74,1
Meso_PE;Meso20PR_3VP2022-11-25.0001\Meso_PE;Meso20PR_3;12:59;2022-Nov-25;30,91;1053;7093,92;13,53;102,12;15,67;16,59;36,08;33,27;0,33;64,77;10,91;10,79;10,93;4,99;3,09;138,15;20,12;17,17;26,98;19,52;6,01;151,33;33,42;36,32;48,55;35
Meso_PE;Meso20PR_2VP2022-11-25.0001\Meso_PE;Meso20PR_2;12:57;2022-Nov-25;33,77;1040;7039,92;13,58;146,63;15,87;16,12;38,16;36,19;0,33;45,44;10,23;10,43;11;9,39;3,8;141,91;22,27;17,89;28,89;19,07;4,75;139,1;36,14;40,68;59,32;65,42
Meso_PE;Meso20PR_1VP2022-11-25.0001\Meso_PE;Meso20PR_1;12:54;2022-Nov-25;20,69;534;3585,41;13,57;247,39;18,32;17,03;42,08;42,72;0,3;42,97;11,04;12,58;14,5;15,16;3,98;159,84;20,86;14,33;23,81;15,74;5,22;145,65;35;40,59;65,26;76,06
Meso_PE;Meso200PR_3sj2022-11-25.0001\Meso_PE;Meso200PR_3;14:53;2022-Nov-25;32,83;1254;8427,87;13,58;129,74;17,26;17,85;42,35;42,47;0,53;80,17;16,22;18,51;23,28;25,8;3,06;162,11;15,39;8,53;14,99;9,63;4,51;120,34;29,79;35,26;51,89;57,83
Meso_PE;Meso200PR_2VP2022-11-25.0001\Meso_PE;Meso200PR_2;13:09;2022-Nov-25;32,81;1241;8334,68;13,56;133,94;16,18;15,51;34,42;31,43;0,28;70,88;15,34;15,83;15,38;7,54;3,3;94,93;11,5;9,95;16,66;13,2;3,96;116,49;30,47;33,24;39,16;21,59
Meso_PE;Meso200PR_1VP2022-11-25.0001\Meso_PE;Meso200PR_1;13:07;2022-Nov-25;25,7;824;5540,24;13,65;117,27;18,14;20,34;48,1;50,42;0,28;91,8;18,12;21,68;29,7;32,83;2,48;130,07;11,4;6,44;12,29;8,48;4,46;121,48;25,77;30,86;53,95;59,94
Meso_PE;Meso200_3VP2022-11-27.0001\Meso_PE;Meso200_3;10:37;2022-Nov-27;53,73;2270;15226,31;13,55;185,68;18,67;20,28;44,34;46;0,41;241,94;17,23;18,24;23,44;25,33;2,23;150,06;13,31;8,11;13,66;8,59;4,14;130,47;28,54;33,39;49,65;55,76
Meso_PE;Meso200_3VP2022-11-25.0001\Meso_PE;Meso200_3;11:32;2022-Nov-25;37,87;3197;21345,92;13,57;164,16;19,25;21,03;46,88;48,19;0,39;234,86;17,72;19,82;25,5;27,47;2,39;109,59;11,52;6,36;12,04;7,95;3,45;143,38;26,18;30,8;48,28;53,07
