Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Tele_tot\Tele_PE;Tele80PR_3VP2022-11-24.0001\Tele_tot\Tele_PE;Tele80PR_3;11:37;2022-Nov-24;92,7;5165;34751,89;39,81;321,69;50,15;52,14;146,1;143,43;3,57;50,54;6,44;6,22;14,87;13,78;2,92;502,76;27,03;3,33;15,42;12,1;13,19;99,77;8,2;7,95;31,8;30,58
Tele_tot\Tele_PE;Tele80PR_2VP2022-11-24.0001\Tele_tot\Tele_PE;Tele80PR_2;11:35;2022-Nov-24;91,36;5808;38985,36;38,16;331,57;49,64;50,93;147,01;144,2;3,96;59,95;6,34;6,21;14,85;13,81;2,04;601,75;23,31;3,21;14,69;11,86;15,72;130,89;8,04;7,93;31,46;30,22
Tele_tot\Tele_PE;Tele80PR_1VP2022-11-24.0001\Tele_tot\Tele_PE;Tele80PR_1;11:33;2022-Nov-24;90,29;5395;36117,15;36,61;375,89;50,77;51,91;147,12;145,01;3,79;73,21;6,36;6,24;14,92;13,76;3,42;761,11;26,89;3,29;15,22;11,94;14,32;159,7;8,55;8,05;31,76;30,44
Tele_tot\Tele_PE;Tele80_3VP2022-11-25.0001\Tele_tot\Tele_PE;Tele80_3;10:55;2022-Nov-25;92,48;11528;76907,17;37,23;387,05;56,13;57,5;155,71;151,38;3,46;63,44;7,19;7,04;16,02;14,76;3,24;785,45;35,72;3,07;14,69;9,23;12,67;204,6;8,51;7,37;28,16;26,6
Tele_tot\Tele_PE;Tele80_3VP2022-11-24.0001\Tele_tot\Tele_PE;Tele80_3;10:49;2022-Nov-24;96,85;45637;456657,68;36,16;379,91;48,9;50,49;144,1;140,87;3,32;68,31;6,21;6,07;14,43;13,39;1,78;563,85;17,28;3,12;12,76;11,34;10,66;124,25;7,57;7,61;30,64;29,58
Tele_tot\Tele_PE;Tele80_3VP2022-11-23.0001\Tele_tot\Tele_PE;Tele80_3;11:23;2022-Nov-23;96,46;44965;449649,99;37,52;422,04;52,97;55,2;154;151,63;3,28;71,18;7,68;7,52;17,97;16,71;2,31;854,97;23,56;2,99;12,54;10,07;12,52;173,93;8,54;8,16;32,87;31,29
Tele_tot\Tele_PE;Tele80_2VP2022-11-25.0001\Tele_tot\Tele_PE;Tele80_2;10:49;2022-Nov-25;91,31;12901;86006,67;36,58;369,15;55,65;57,24;156,38;151,97;3,01;57,1;7,19;6,84;16,07;14,75;2,28;558,35;22,28;3,07;11,91;9,17;11,83;130,51;7,62;7,2;27,44;26,09
Tele_tot\Tele_PE;Tele80_2VP2022-11-24.0001\Tele_tot\Tele_PE;Tele80_2;10:42;2022-Nov-24;96,46;53650;536500;38,35;412,05;42,92;43,56;147,94;145,25;3,32;60,97;6,03;5,87;14,23;13,18;1,73;657,24;17,33;3,18;13,03;11,46;9,72;137,9;7,53;7,58;30,46;29,36
Tele_tot\Tele_PE;Tele80_2VP2022-11-23.0001\Tele_tot\Tele_PE;Tele80_2;11:15;2022-Nov-23;94,61;47932;479320,04;39,05;394,62;46,91;47,79;159,19;157,51;3,7;68,94;7,51;7,36;17,85;16,59;1,98;533,79;21,61;3,13;12,91;10,45;12,18;118,78;8,31;8,17;32,61;31,04
Tele_tot\Tele_PE;Tele80_1VP2022-11-25.0001\Tele_tot\Tele_PE;Tele80_1;10:42;2022-Nov-25;90,12;14888;99515,4;37,33;387,28;54,89;56,43;155,54;151,41;3,48;59,58;6,86;6,58;15,68;14,55;3,01;736,2;23,05;2,94;12,1;9,13;9,78;139,36;7,4;6,79;26,58;25,23
Tele_tot\Tele_PE;Tele80_1VP2022-11-24.0001\Tele_tot\Tele_PE;Tele80_1;10:34;2022-Nov-24;95,44;50001;500010,04;36,94;405,11;42,84;43,71;150,14;147,87;3,34;63,84;5,82;5,67;14,18;13,2;1,74;558,3;17,29;3,33;13,72;12,17;9,71;141,49;7,57;7,59;30,64;29,56
Tele_tot\Tele_PE;Tele80_1VP2022-11-23.0001\Tele_tot\Tele_PE;Tele80_1;11:07;2022-Nov-23;92,99;47545;475649,78;37,32;397,79;46,76;47,61;158,41;156,91;3,73;66,51;7,55;7,42;18,02;16,77;2,54;666,76;18,14;3,12;12,64;10,71;10,83;141,48;8,14;8,15;32,79;31,34
Tele_tot\Tele_PE;Tele20PR_3VP2022-11-24.0001\Tele_tot\Tele_PE;Tele20PR_3;11:30;2022-Nov-24;93,12;32295;215780,47;36,66;436,11;54,45;54,87;140,69;134,75;3,1;63,79;7,48;6,99;15,46;13,91;1,71;1915,63;57,9;8,45;34,93;28,14;12,37;371,51;16,7;12,49;49,97;46,64
Tele_tot\Tele_PE;Tele20PR_2VP2022-11-24.0001\Tele_tot\Tele_PE;Tele20PR_2;11:28;2022-Nov-24;92,04;30417;202780;37,44;398,26;54,38;54,62;142,47;137,11;3,33;62,41;7,48;7;15,72;14,25;1,77;1939,1;55,3;8,42;34,52;28,32;10,58;352,93;16,42;12,48;49,61;46,71
Tele_tot\Tele_PE;Tele20PR_1VP2022-11-24.0001\Tele_tot\Tele_PE;Tele20PR_1;11:26;2022-Nov-24;92,49;38045;253633,33;37,03;421,72;53,66;54,55;140,69;135,42;3,18;65,27;7,56;7,01;15,63;14,11;1,75;1533,63;56,31;8,45;35,41;28,66;13,31;286,53;16,75;12,43;50,1;47,23
Tele_tot\Tele_PE;Tele200PR_3VP2022-11-24.0001\Tele_tot\Tele_PE;Tele200PR_3;11:44;2022-Nov-24;88,75;9155;61288,29;38,44;345,97;54,4;56,54;166,3;164,49;4;62,21;7,05;7,06;17,57;16,45;1,91;320,08;14,14;1,87;8,29;6,64;11,15;74,19;6,19;6,41;26,35;25,89
Tele_tot\Tele_PE;Tele200PR_2VP2022-11-24.0001\Tele_tot\Tele_PE;Tele200PR_2;11:42;2022-Nov-24;87,47;8754;58636,77;39,2;378,91;55,03;58,1;168,15;165,34;3,25;55,78;7,04;6,91;17,7;16,53;1,69;286,5;12,32;1,89;8,02;6,67;10,34;69,44;6,14;6,36;26,13;25,75
Tele_tot\Tele_PE;Tele200PR_1VP2022-11-24.0001\Tele_tot\Tele_PE;Tele200PR_1;11:39;2022-Nov-24;88,3;9445;63203,47;36,88;374,7;54,55;56,6;166,52;163,71;3,73;59,3;7,02;6,94;17,46;16,3;2,07;281,68;12,93;1,97;8,41;6,85;10,69;69,46;6,32;6,48;26,26;25,7
Tele_tot\Tele_PE;Tele200_3VP2022-11-25.0001\Tele_tot\Tele_PE;Tele200_3;10:58;2022-Nov-25;92,03;22072;147146,67;37,94;402,68;53,87;55,24;155,96;152,62;3,63;63,69;6,91;6,55;16,04;14,77;1,8;811,31;15,49;1,46;6,26;4,5;8,2;165,33;5,4;4,99;19,66;18,59
Tele_tot\Tele_PE;Tele200_3VP2022-11-24.0001\Tele_tot\Tele_PE;Tele200_3;10:52;2022-Nov-24;91,86;88554;885540,04;36,81;426,46;47,79;48,81;173,16;171,07;3,77;66,13;6,76;6,61;17,32;16,13;1,54;356,96;6,46;1,78;6,85;6,36;8,41;86,83;5,93;6,22;25,72;25,36
Tele_tot\Tele_PE;Tele200_3VP2022-11-23.0001\Tele_tot\Tele_PE;Tele200_3;11:25;2022-Nov-23;80,45;100897;1008970,09;36,7;421,74;52,27;52,94;177,55;175,79;4,13;73,61;9,39;8,87;21,7;19,84;1,61;415,96;6,61;1,93;6,86;6,21;9,52;94,44;7,52;7,78;27,87;26,62
Tele_tot\Tele_PE;Tele200_2VP2022-11-25.0001\Tele_tot\Tele_PE;Tele200_2;10:51;2022-Nov-25;92,52;25094;167549,13;37,15;388,46;53,07;54,62;155,23;151,81;3,75;65,12;6,79;6,47;15,93;14,73;1,78;402,62;13,67;1,54;6,5;4,64;8,92;99,16;5,24;4,91;19,55;18,5
Tele_tot\Tele_PE;Tele200_2VP2022-11-24.0001\Tele_tot\Tele_PE;Tele200_2;10:45;2022-Nov-24;91,76;85463;854630;36,79;428,8;48,06;49,11;174,78;172,58;3,73;68,11;6,8;6,63;17,42;16,23;1,54;609,02;7,2;1,86;7,13;6,61;8,57;131,21;5,94;6,23;25,55;25,24
Tele_tot\Tele_PE;Tele200_2VP2022-11-23.0001\Tele_tot\Tele_PE;Tele200_2;11:18;2022-Nov-23;78,95;100889;1008890,01;38,01;434,47;52,42;53,02;177,06;174,84;4,28;73,76;9,67;9,08;21,89;19,89;1,72;642,79;7,36;1,98;6,98;6,26;8,82;121,13;7,59;7,77;27,44;26,04
Tele_tot\Tele_PE;Tele200_1VP2022-11-25.0001\Tele_tot\Tele_PE;Tele200_1;10:44;2022-Nov-25;90,88;26110;174066,67;37,83;376,54;52,35;53,57;156,04;152,52;3,7;70,9;6,65;6,35;15,88;14,77;1,65;526,78;12,56;1,61;6,53;4,91;8,42;107,13;5,14;4,93;19,67;18,73
Tele_tot\Tele_PE;Tele200_1VP2022-11-24.0001\Tele_tot\Tele_PE;Tele200_1;10:37;2022-Nov-24;92,07;91378;913780,03;37,18;420,83;47,26;48,38;173,32;170,92;3,96;69,72;6,57;6,38;16,86;15,71;1,61;372,82;6,92;2,07;7,79;7,21;8,67;93,39;6,04;6,33;25,84;25,42
Tele_tot\Tele_PE;Tele200_1VP2022-11-23.0001\Tele_tot\Tele_PE;Tele200_1;11:10;2022-Nov-23;79,31;104003;1040030,03;37,51;433,21;52,21;52,35;175,82;173,76;4,39;73,79;9,82;9,15;22,02;19,96;1,6;1202,27;6,7;2,13;7,33;6,74;8,22;291,14;7,75;7,77;27,83;26,35
Tele_tot\Tele_PE;Tele20_3VP2022-11-25.0001\Tele_tot\Tele_PE;Tele20_3;10:53;2022-Nov-25;92,03;37543;250286,67;36,28;416,66;53,44;52,7;131,75;124,86;3,11;73,05;7,42;6,63;14,55;12,9;1,68;1939,28;53,38;7,75;30,91;24,82;9,14;374,07;16,58;11,92;45,68;42,2
Tele_tot\Tele_PE;Tele20_3VP2022-11-24.0001\Tele_tot\Tele_PE;Tele20_3;10:48;2022-Nov-24;89,3;42475;424750,03;37,14;412,68;45,97;45,33;131,18;125,01;3,34;67,45;7,19;6,61;14,49;12,93;1,52;1939,16;45,88;7,89;31,16;26,56;10,23;366,12;15,87;12,17;48,13;44,88
Tele_tot\Tele_PE;Tele20_3VP2022-11-23.0001\Tele_tot\Tele_PE;Tele20_3;11:21;2022-Nov-23;85,86;34868;348390,87;36,56;375,95;44,11;43,74;129,81;124,84;3,42;65,35;7,21;6,65;14,57;12,99;1,93;1788,37;60,17;7,61;31,8;25,45;9,33;329,04;16,48;12,77;49,23;45,98
Tele_tot\Tele_PE;Tele20_2VP2022-11-25.0001\Tele_tot\Tele_PE;Tele20_2;10:46;2022-Nov-25;92,49;48888;325920,01;36,78;427,45;52,38;51,41;130,91;124,03;3,21;68,08;7,15;6,44;14,1;12,52;1,57;1511,89;46,72;7,31;29,62;24,26;12,43;374,02;15,43;11,16;44,04;40,59
Tele_tot\Tele_PE;Tele20_2VP2022-11-24.0001\Tele_tot\Tele_PE;Tele20_2;10:39;2022-Nov-24;89,61;53057;530570,01;36,98;411,5;45,68;45,48;132,27;126,83;3,18;73,05;7,01;6,5;14,43;12,97;1,56;1461,31;39,1;7,84;30,72;27,16;11,13;302,88;14,91;11,69;47,74;45,28
Tele_tot\Tele_PE;Tele20_2VP2022-11-23.0001\Tele_tot\Tele_PE;Tele20_2;11:13;2022-Nov-23;86,32;41208;412079,99;36,79;408,36;43,47;42,69;129,78;124,79;3,32;70,28;7,04;6,46;14,29;12,75;1,95;1597,23;54,12;7,33;30,9;24,92;8,12;342,98;16;12,06;47,88;44,43
Tele_tot\Tele_PE;Tele20_1VP2022-11-25.0001\Tele_tot\Tele_PE;Tele20_1;10:40;2022-Nov-25;92,11;49866;332440;37,03;422,17;52,82;51,96;132,2;125,43;3,13;72,32;7,35;6,54;14,16;12,45;1,69;1939,27;51,93;7,95;31,45;25,62;10,95;372,69;16,71;11,75;45,2;41,28
Tele_tot\Tele_PE;Tele20_1VP2022-11-24.0001\Tele_tot\Tele_PE;Tele20_1;10:31;2022-Nov-24;87,24;56762;567149,29;36,46;419,53;46,16;46,03;133,99;128,27;3,28;68;7,08;6,45;14,32;12,81;1,77;1939,13;46,16;8,35;33,47;29,07;8,58;366,74;16,27;11,95;48,81;46,02
Tele_tot\Tele_PE;Tele20_1VP2022-11-23.0001\Tele_tot\Tele_PE;Tele20_1;11:05;2022-Nov-23;81,89;44299;442990,02;36,97;405,48;44,17;42,7;130,11;124,99;3,42;74,09;7,09;6,46;14,2;12,63;1,79;1797,79;54,27;7,76;32,25;25,94;8,69;353,72;16,71;12,36;48,6;44,88
