Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Meso_PE;Meso80PR_3PL2022-11-22.0001\Meso_PE;Meso80PR_3;12:57;2022-Nov-22;19,99;807;5402,47;13,54;98,21;16,33;17,45;46,38;47,71;0,61;62,08;12,25;14,48;21,28;22,7;2,39;164,62;20,51;6,86;17,72;11,61;4,1;142,09;29,58;36,24;66,53;74,92
Meso_PE;Meso80PR_2PL2022-11-22.0001\Meso_PE;Meso80PR_2;12:55;2022-Nov-22;20,9;819;5500,48;13,73;89,39;16,91;19,3;44,4;46,67;0,49;53,71;12,98;15,39;19,55;21,41;2,61;126,55;15,58;10,63;18,48;12,44;4,57;140,19;31,73;37,93;63,02;72,06
Meso_PE;Meso80PR_1PL2022-11-22.0001\Meso_PE;Meso80PR_1;12:53;2022-Nov-22;21,11;853;5745,69;13,52;105,33;16,38;18,24;43,58;44,98;0,48;53,21;12,52;14,81;19,06;20,75;3,11;132,71;17,68;11,44;19,04;12,24;4,88;145,64;30,72;36,48;62,77;71,67
Meso_PE;Meso80_3VP2022-11-24.0001\Meso_PE;Meso80_3;12:09;2022-Nov-24;47,47;1833;12310,61;13,49;131,62;16,09;16,64;47,48;48,87;0,22;119,24;12,19;14,18;22,09;22,85;2,61;138,03;15,9;5,95;15,86;10,75;5,46;144,16;29,21;33,37;70,15;74,26
Meso_PE;Meso80_3VP2022-11-23.0001\Meso_PE;Meso80_3;11:49;2022-Nov-23;47,05;1635;11000,84;13,49;165,76;16,35;16,56;37,25;36,1;0,35;343,26;16,46;12,64;14,84;14,23;2,64;170,27;21,99;16,56;24,43;14,16;3;146,91;34,51;38,47;55,64;63,46
Meso_PE;Meso80_3PL2022-11-22.0001\Meso_PE;Meso80_3;11:50;2022-Nov-22;62,53;2373;15906,11;13,53;104,35;15,74;16,41;46,73;48,24;0,41;82,05;11,73;13,16;22,19;23,1;2,67;161,66;14,64;5,85;15,53;11,02;4,94;174,09;27,86;29,7;68,75;73,26
Meso_PE;Meso80_2VP2022-11-24.0001\Meso_PE;Meso80_2;12:06;2022-Nov-24;58,65;1750;11816,02;13,74;107,52;15,92;16,8;46,55;47,5;0,48;72,46;12,14;14,43;21,76;22,99;2,73;151,59;16,52;7,91;16,64;11,15;5,85;146,7;30,19;36,74;69,39;74,75
Meso_PE;Meso80_2VP2022-11-23.0001\Meso_PE;Meso80_2;11:47;2022-Nov-23;48,17;1392;9434,6;13,52;123,73;15,88;16,73;38,37;37,68;0,33;71,51;11,76;12,85;15,4;16,17;3,42;175,88;24,44;15,82;25,21;14,02;5,56;147,3;33,71;38,11;59,17;67,76
Meso_PE;Meso80_2PL2022-11-22.0001\Meso_PE;Meso80_2;11:48;2022-Nov-22;67,91;2514;16853,59;13,62;110,76;15,74;16,17;47,97;49,03;0,49;80,96;12,08;14;22,91;24,02;2,49;151,42;14,26;5,68;15,59;11,25;5,77;139,94;28,03;29,8;69,26;74,26
Meso_PE;Meso80_1VP2022-11-24.0001\Meso_PE;Meso80_1;12:04;2022-Nov-24;48,41;1937;13063,92;13,58;100,9;15,5;15,67;47,89;48,6;0,45;60,29;11,84;13,59;22,59;23,49;2,3;176,83;17,29;7,19;16,3;10,58;6,27;155,83;28,22;30,2;70,28;73,79
Meso_PE;Meso80_1VP2022-11-23.0001\Meso_PE;Meso80_1;11:45;2022-Nov-23;43,81;1386;9337,23;13,53;100,79;16,05;17,71;40,62;41,76;0,52;59,7;11,98;13,37;16,98;17,9;4,13;163,44;18,96;13,81;21,69;13,21;5,75;167,78;33,93;38,78;62,61;71,3
Meso_PE;Meso80_1PL2022-11-22.0001\Meso_PE;Meso80_1;11:46;2022-Nov-22;62,39;2344;15866,89;13,59;119,81;15,83;15,85;48,64;50,03;0,53;88,52;11,89;12,53;22,89;23,58;2,51;117,32;11,39;4,63;14,38;10,98;4,27;169,64;27,32;26,48;69,6;74,02
Meso_PE;Meso20PR_3PL2022-11-22.0001\Meso_PE;Meso20PR_3;12:50;2022-Nov-22;17,22;266;1815,7;14,33;92,88;17,09;19,31;48,06;49,99;0,55;46,73;11,01;13,17;17,57;18,63;4,92;86,94;11,27;5,91;16,95;13,33;7,93;125,75;30,35;35,54;67,09;76,69
Meso_PE;Meso20PR_2PL2022-11-22.0001\Meso_PE;Meso20PR_2;12:48;2022-Nov-22;26,63;782;5312,97;13,6;113,69;16,67;18,38;44,25;45,98;0,43;47,29;10,67;12,37;15,73;16,99;2,45;148,2;16,57;8,56;20,51;15,33;4,61;138,95;33,93;41,2;69,68;80,33
Meso_PE;Meso20PR_1PL2022-11-22.0001\Meso_PE;Meso20PR_1;12:46;2022-Nov-22;20,6;579;3905,04;13,65;133,72;17,74;18,48;42,67;43,54;0,47;48,58;10,91;12,9;15,49;16,69;3,84;149,32;15,29;8,87;20,59;15,62;5,38;140,16;35,65;41,94;68,34;78,26
Meso_PE;Meso200PR_3PL2022-11-22.0001\Meso_PE;Meso200PR_3;13:03;2022-Nov-22;21,12;949;6408,57;13,54;129,54;17,37;19,15;45,46;47,23;0,34;76,13;15,83;19,43;26,27;29,37;2,19;89,42;11,14;6,66;11,35;7,19;3,68;112,18;26,12;31,87;53,49;59,21
Meso_PE;Meso200PR_2PL2022-11-22.0001\Meso_PE;Meso200PR_2;13:01;2022-Nov-22;28,03;1347;9046,58;13,57;105,88;16,82;18,08;47,45;49,1;0,41;73,98;15,86;19,47;28,17;30,43;2,43;156,02;12,95;5,96;11,66;7,46;5,22;115,86;26,13;31,52;57,61;62,27
Meso_PE;Meso200PR_1PL2022-11-22.0001\Meso_PE;Meso200PR_1;12:59;2022-Nov-22;36,03;1890;12686,35;13,57;102,15;15,93;15,11;50,21;51,73;0,52;120,38;14,83;13,62;30,34;31,44;2,22;107,82;8,07;2,94;9,02;6,73;3,72;124,11;23,34;18,85;59,08;61,97
Meso_PE;Meso200_3VP2022-11-24.0001\Meso_PE;Meso200_3;12:15;2022-Nov-24;52,7;2614;17514,24;13,58;133,87;16,65;17,3;47,04;48,07;0,51;91,07;15,1;17,69;27,79;29,35;2,55;115,11;8,68;3,98;9,75;7,06;4,64;138,89;25,58;30,76;57,16;61,22
Meso_PE;Meso200_3VP2022-11-23.0001\Meso_PE;Meso200_3;11:56;2022-Nov-23;44,79;1673;11392,19;13,5;110,92;15,35;16,8;41,73;42,84;0,43;82,81;14,82;17,61;24,94;27,1;2,6;159,19;10,84;6,25;12,23;8,79;4,26;131,26;29,12;35,61;57,62;62,93
Meso_PE;Meso200_3PL2022-11-22.0001\Meso_PE;Meso200_3;11:57;2022-Nov-22;61;3291;22090,36;13,57;131,28;17,19;18,13;47,4;48,85;0,52;106,95;15,71;19,02;28,04;29,5;2,42;108,62;8,78;3,89;9,64;6,96;4,2;123,87;25,33;31,01;54,57;58,77
Meso_PE;Meso200_2VP2022-11-24.0001\Meso_PE;Meso200_2;12:13;2022-Nov-24;61,05;3392;22698,38;13,51;160,67;17,4;18,53;47,73;49,61;0,36;109,91;16,02;19,39;27,74;29,56;2,39;137,95;9,9;4,77;10,66;7,57;4,82;153,49;27,19;32,79;56,93;60,74
Meso_PE;Meso200_2VP2022-11-23.0001\Meso_PE;Meso200_2;11:54;2022-Nov-23;60,36;2375;16074,45;13,49;146;15,04;15,23;44,68;45,66;0,54;87,48;14,37;16,99;26,74;28,18;2,3;154,32;10,56;4,58;11,3;8,16;4,91;126,07;26,72;32,23;61,36;65,4
Meso_PE;Meso200_2PL2022-11-22.0001\Meso_PE;Meso200_2;11:54;2022-Nov-22;64,17;3746;25084,88;13,56;130,98;16,96;18,49;45,75;47,24;0,38;102,65;16,36;19,9;28,15;30,12;2,27;96,16;8,1;4,32;9,98;7,4;3,77;145,38;26,99;33,05;55,54;59,8
Meso_PE;Meso200_1VP2022-11-24.0001\Meso_PE;Meso200_1;12:11;2022-Nov-24;64,62;3939;26473,38;13,5;147,06;17,25;18,14;48,64;50,03;0,48;100,68;16,63;20,25;29,23;30,92;2,3;133,23;9,44;4,37;10,59;7,78;4,97;142,14;26,45;32,14;56,87;60,67
Meso_PE;Meso200_1VP2022-11-23.0001\Meso_PE;Meso200_1;11:51;2022-Nov-23;61,93;3138;21241,6;13,53;130,02;15,37;15,49;45,78;46,35;0,45;76,73;14;15,67;27,33;28,32;2,28;135,05;9,73;4,16;10,91;8,07;3,9;141,05;26,2;27,58;61,72;65,59
Meso_PE;Meso200_1PL2022-11-22.0001\Meso_PE;Meso200_1;11:52;2022-Nov-22;70,68;3378;22604,69;13,57;179,51;17,11;17,73;47,83;49,21;0,31;102,55;16,11;19,39;29,05;30,66;2,2;89,59;6,83;3,63;9,12;7,05;4,09;127,99;25,6;31,39;55,9;59,82
