Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Tele_tot\Tele_PE;Tele80PR_3VP2022-11-27.0001\Tele_tot\Tele_PE;Tele80PR_3;10:53;2022-Nov-27;95,7;49667;331113,34;36,2;402,58;53,17;54,97;154,46;151,26;3,44;71,55;6,62;6,49;15,77;14,71;1,76;629,08;17,57;3,36;12,75;11,19;8,24;117,44;7,36;7,32;28,74;27,57
Tele_tot\Tele_PE;Tele80PR_2VP2022-11-27.0001\Tele_tot\Tele_PE;Tele80PR_2;10:48;2022-Nov-27;95,51;44564;297093,32;37,44;407,54;53,12;55,12;155,13;151,98;3,08;66,85;6,57;6,45;15,95;14,88;1,65;523,85;18,36;3,37;13,3;11,47;8,67;112,39;7,35;7,23;28,75;27,54
Tele_tot\Tele_PE;Tele80PR_1VP2022-11-27.0001\Tele_tot\Tele_PE;Tele80PR_1;10:44;2022-Nov-27;94,71;38676;257912,23;38,47;381,13;52,99;55,04;155,2;151,98;3,2;69,4;6,6;6,48;16,03;14,98;2,61;443,01;15,55;3,53;13,39;11,82;9,99;107,19;7,28;7,31;28,9;27,69
Tele_tot\Tele_PE;Tele80_3VP2022-11-27.0001\Tele_tot\Tele_PE;Tele80_3;10:09;2022-Nov-27;97;58357;583815,19;36,79;421,86;50,12;51,44;141,8;137,89;3,26;70,56;6,1;5,85;13,77;12,68;1,84;787,93;18,92;3,14;12,12;10,48;8,42;181,2;7,04;6,89;27,39;26,2
Tele_tot\Tele_PE;Tele80_3BC2022-11-28.0001\Tele_tot\Tele_PE;Tele80_3;11:06;2022-Nov-28;96,74;70691;706910,03;36,65;417,35;56,15;57,99;158,54;154,6;3,29;63,75;7,3;7,14;17,15;15,94;2,22;550,39;17,93;3,14;12,36;10,7;8,24;145,98;7,78;7,84;30,2;28,83
Tele_tot\Tele_PE;Tele80_2VP2022-11-27.0001\Tele_tot\Tele_PE;Tele80_2;10:02;2022-Nov-27;96,69;63224;632240,05;37,12;369,45;44,68;44,98;145,9;141,95;3,19;70,47;5,98;5,82;13,63;12,53;1,83;687,49;17,14;3,09;11,89;10,4;10,7;156,36;6,97;6,81;27,15;26,04
Tele_tot\Tele_PE;Tele80_2BC2022-11-28.0001\Tele_tot\Tele_PE;Tele80_2;10:59;2022-Nov-28;95,78;62673;627382,51;37,56;393,34;49,25;50,33;162,21;159,52;3,85;62,18;7,05;6,94;17,2;16,02;1,93;496,52;12,36;3,13;11,73;10,66;9,64;127,06;7,34;7,53;29,47;28,09
Tele_tot\Tele_PE;Tele80_2_surnBC2022-11-28.0001\Tele_tot\Tele_PE;Tele80_2_surn;12:57;2022-Nov-28;96,27;10121;101570,57;37,22;377,12;54,72;55,84;158,07;153,9;3,24;62,43;7,92;7,66;17,12;15,6;2,27;380,35;19,02;2,62;11,74;9,72;9,03;89,13;7,76;7,9;31,53;30,27
Tele_tot\Tele_PE;Tele80_1VP2022-11-27.0001\Tele_tot\Tele_PE;Tele80_1;09:54;2022-Nov-27;94,89;68674;687454,96;36,55;416,6;45,22;45,6;149,22;145,23;3,31;67,35;5,92;5,71;13,41;12,3;1,76;656,56;14,62;3,27;12,39;11,12;8,86;148,36;6,91;6,88;27,41;26,27
Tele_tot\Tele_PE;Tele80_1BC2022-11-28.0001\Tele_tot\Tele_PE;Tele80_1;10:51;2022-Nov-28;94,57;59038;590380,07;37,7;418,02;48,88;49,82;162,3;159,38;3,62;64,91;6,92;6,76;17,11;15,95;1,82;861,79;15,05;3,32;12,83;11,35;9,4;186,33;7,57;7,59;29,7;28,24
Tele_tot\Tele_PE;Tele200PR_3VP2022-11-27.0001\Tele_tot\Tele_PE;Tele200PR_3;10:55;2022-Nov-27;95,05;37791;251940;36,14;431,25;57,39;59,3;166,29;162,56;3,41;67,95;7;6,77;16,77;15,48;1,83;344,71;11,48;1,96;7,35;6,11;8,1;73,85;6,11;6,37;22,79;21,83
Tele_tot\Tele_PE;Tele200PR_2VP2022-11-27.0001\Tele_tot\Tele_PE;Tele200PR_2;10:50;2022-Nov-27;95,28;38433;256220;38,29;428,58;56,83;59,28;167,15;163,23;3,79;62,54;6,92;6,68;16,59;15,32;1,77;554,74;11,59;1,96;7,32;6,12;8,3;151,57;5,98;6,06;22,2;21,27
Tele_tot\Tele_PE;Tele200PR_1VP2022-11-27.0001\Tele_tot\Tele_PE;Tele200PR_1;10:46;2022-Nov-27;95;36216;241440;36,5;394,87;56,48;58,4;166,2;162,31;3,67;66,85;6,77;6,57;16,57;15,4;1,73;322,01;9,61;2,09;7,58;6,6;8,17;70,32;6;6,27;22,82;21,89
Tele_tot\Tele_PE;Tele200_3VP2022-11-27.0001\Tele_tot\Tele_PE;Tele200_3;10:12;2022-Nov-27;95,88;117263;1172630;36,39;434,17;49,59;50,95;165,32;160,89;3,57;69,09;6,34;6,09;14,89;13,66;1,58;640,02;6,62;2,02;6,59;6,03;8,47;149,28;5,79;6,05;21,82;20,96
Tele_tot\Tele_PE;Tele200_3BC2022-11-28.0001\Tele_tot\Tele_PE;Tele200_3;11:09;2022-Nov-28;87,54;57331;573310;36,91;437;47,4;46,77;168,86;164,94;3,82;70,42;7,64;7,3;19,33;17,99;1,79;949,14;13,45;1,94;7,3;5,8;8,36;222,62;6,56;6,29;23,13;21,75
Tele_tot\Tele_PE;Tele200_2VP2022-11-27.0001\Tele_tot\Tele_PE;Tele200_2;10:05;2022-Nov-27;96,08;121162;1211620;37,65;421,24;49,72;51,07;165,6;161,19;3,47;68,76;6,21;5,94;14,69;13,55;1,59;791,28;6,31;2,01;6,52;5,98;8,39;204,99;5,51;5,73;21,11;20,31
Tele_tot\Tele_PE;Tele200_2BC2022-11-28.0001\Tele_tot\Tele_PE;Tele200_2;11:02;2022-Nov-28;86,03;55075;550750,06;38,69;417,85;47,5;47,06;169,2;165,79;3,99;71,4;7,66;7,22;19,62;18,3;1,67;765,13;13,43;1,99;7,5;5,82;8,3;128,93;6,5;6,26;22,9;21,59
