wl;Ed_20;Ed_80;Ed_200
325;4.58177024797557e-05;6.61217665402794e-05;8.93934653971574e-05
326;3.04224535971326e-05;7.57087993532068e-05;0.000170165037634734
327;6.37792089215653e-06;8.42622499292566e-05;0.000211941096554854
328;-1.33407586870291e-05;8.32885219807598e-05;0.000141829147137282
329;-7.57206914722731e-06;8.36686819345344e-05;-1.40305751657586e-06
330;-1.11827935976481e-06;8.92687726316841e-05;-2.75963331917759e-05
331;-1.39822930954331e-05;0.000101868109617554;0.000203537299672709
332;-3.3583234993079e-06;0.000102930796674419;0.000201806130759147
333;1.93355242253438e-05;9.3615786674028e-05;6.34149419762293e-05
334;9.34479960355174e-06;8.09560434934737e-05;0.000242795999148651
335;5.80413115384692e-06;9.17200156837743e-05;0.000301959178816396
336;1.62189581095909e-05;0.000120322432522083;0.000151118346783889
337;9.60184559556925e-06;8.77145270285752e-05;0.000112337563636956
338;-3.1615319214807e-06;5.62981129314555e-05;0.000150468239523773
339;-9.81469779824618e-06;8.41726128820914e-05;0.000213102961304103
340;-4.55340700682395e-07;0.00010325932666612;0.0003233171551566
341;1.55163694612929e-05;0.000100574905893232;0.000389247899875648
342;1.21831014295884e-05;7.54795826530203e-05;0.00019113518766578
343;7.51203012497975e-06;7.14009555146643e-05;5.72096869126877e-05
344;7.81471838458081e-06;9.89651118211425e-05;0.000101578103584632
345;1.11748010256776e-05;0.000122502446194128;0.000230794688944782
346;1.45888387706238e-05;0.000129537862271318;0.000331805128685197
347;1.51205293400438e-05;0.000112426157349828;0.000304435009466172
348;9.16144019911855e-06;0.000103514535442714;0.000197635825977084
349;3.5807520513316e-06;0.000103791935896859;8.89527216971127e-05
350;2.13148680432596e-05;9.73642867300827e-05;0.000141075862079935
351;1.86092285246985e-05;8.8566775443386e-05;0.000193732320147826
352;-1.23440756306169e-05;8.00702546325371e-05;0.000184704421196732
353;-2.36196358523164e-06;7.77556274008439e-05;0.000180588381974587
354;1.81632263752139e-05;7.8201636603867e-05;0.000179676039187497
355;6.69428346033974e-06;7.68140149651567e-05;0.000173781355963905
356;4.10448574080403e-06;9.0277403518884e-05;0.000165372857356301
357;1.4583459401925e-05;0.000129954322111542;0.000193301603339202
358;2.03483485962579e-05;0.00021402453070323;0.000365147613821793
359;3.86616913336333e-05;0.000318317114144522;0.000559741423678144
360;7.22593905783231e-05;0.000425948895574169;0.000720501237301009
361;7.63883664612318e-05;0.000522211748655435;0.00094960064943169
362;6.42398292883643e-05;0.000599679229122845;0.00114816497441246
363;6.23858347639506e-05;0.000652911934799487;0.00116028657672254
364;7.43817231446439e-05;0.000685978682340415;0.00121124516353979
365;9.32970692663054e-05;0.000709404196187519;0.00133065658347792
366;8.79274312524265e-05;0.000755064345638356;0.00140697720181581
367;8.21395216143209e-05;0.000794769505375758;0.00138922176809537
368;9.09810682083663e-05;0.000796963827168969;0.00124659562226132
369;9.73252585717084e-05;0.000685802942674223;0.00105506657943984
370;9.12107958087157e-05;0.000494913328025906;0.000803132526031257
371;5.89029751521148e-05;0.000302058315475058;0.000435099637160324
372;2.57229679724247e-05;0.000168684341685539;0.000201787872419487
373;5.1277570440634e-06;0.000115059551495535;0.000162939195102386
374;1.21207748285727e-05;0.000102600789279129;0.000177199706840056
375;1.99039669280758e-05;0.000112419004266272;0.000193773036025251
376;7.07413240533813e-06;0.000126671125720236;0.000174764986352493
377;3.9384080255649e-06;0.00013205401543412;0.000181461709510059
378;9.64280396695304e-06;0.000130985018857027;0.000197484138521271
379;9.56344573188239e-06;0.000136769358044152;0.000160505902180986
380;1.63983199482677e-05;0.000146546898557109;0.000136752464317724
381;2.84981424169672e-05;0.000158103889160126;0.000149381262614587
382;1.73618066067956e-05;0.000163331647789795;0.000183128816337051
383;3.65860882307011e-06;0.000170784453326468;0.000220406437749261
384;9.70282193026603e-06;0.000188841518948431;0.000244206596287454
385;2.58695023909569e-05;0.000204655752091015;0.000268400025031736
386;4.17898337607221e-05;0.000210352437261599;0.00028007819827785
387;3.51178158001127e-05;0.000186435882825098;0.000235753921742283
388;3.25065304581545e-05;0.000193934494640067;0.000199255825739482
389;4.10464603305163e-05;0.000248007094148176;0.000200767151634396
390;2.87218512031926e-05;0.000269144060284545;0.000228810953335731
391;1.46116403090876e-05;0.000267288203364152;0.000271422486426404
392;2.50279149574033e-05;0.000264529290491569;0.000315023692107096
393;4.1934586873436e-05;0.000269883405176453;0.000352737092036058
394;5.31841526350465e-05;0.000284977664048172;0.000382373919214065
395;3.23906193372262e-05;0.000298065196589507;0.000396044699851856
396;2.54823207895365e-05;0.000320740983035249;0.000416655768374373
397;5.96687379897889e-05;0.000385712447067981;0.000523148746054569
398;0.00012169429822568;0.000650913301804794;0.00111210615051723
399;0.000203598501219921;0.00104503041993242;0.00200812400603312
400;0.000298688554688912;0.00143798986173455;0.0028869347775248
401;0.000365892025335638;0.00174049309910135;0.00356311628121043
402;0.000403512430173928;0.00194400337620913;0.00402408311448997
403;0.000457845709695744;0.00216256980868824;0.0045386522265535
404;0.0005113372056937;0.00234682067684822;0.00497583366433976
405;0.000548022829048169;0.00245540857312431;0.00521894681686987
406;0.000556431084012694;0.0024995605048693;0.0051975922832769
407;0.000525371000170292;0.00239559921206827;0.00482339749678705
408;0.000433659918637766;0.00196370470318341;0.0039028062461338
409;0.000337211527551992;0.00147291172222305;0.0029870000668182
410;0.000262017220844106;0.00106743428756593;0.00233680315811037
411;0.000212014314505723;0.0008674801414721;0.00202269196643526
412;0.000189434025138596;0.000810361582469499;0.0019788653965705
413;0.000194885392807;0.000821817095518449;0.00212312254254707
414;0.000220470937760763;0.000865719782192987;0.00231776742748033
415;0.00025428341341463;0.00092358018680831;0.00253718909076408
416;0.000275002659882395;0.000991518179320382;0.00283740711998473
417;0.000296318642928963;0.00106061915702831;0.00313841038880043
418;0.000324807305709076;0.00112758646595209;0.0034078351583253
419;0.000363699064937852;0.00120367815555427;0.00369353885762589
420;0.000403501910038701;0.00128971684351443;0.00400941132465442
421;0.000431597658845965;0.00138492203057696;0.00436585212556152
422;0.000460370685916348;0.00148648362652704;0.00472854549017461
423;0.000493638439566671;0.00159096311418732;0.00509785602552165
424;0.000531199844891331;0.00168955816192913;0.00550349709910478
425;0.000575327191790263;0.00179249499450095;0.00592596638143561
426;0.000626880383576286;0.00190909962064026;0.00636048895578937
427;0.000656855715421868;0.00196703713459803;0.00667069263228097
428;0.000739547844600962;0.00223877418718414;0.00748079505531094
429;0.000986623448307004;0.0031233366083663;0.00968992052164006
430;0.00153040652643862;0.00509844217447346;0.0144643837569955
431;0.00233058570817063;0.00801690487308467;0.0214795698321978
432;0.00303982747116655;0.0106254600348209;0.027818741238604
433;0.00366551500247876;0.0129255876808582;0.0334315719788635
434;0.00422931346114056;0.0149753114191497;0.0383905887852136
435;0.00473953106535201;0.0168635874780492;0.0427869252704552
436;0.00508234713629218;0.0181585817070928;0.0454750235806506
437;0.00504401995378431;0.0180212107380706;0.0440953913282062
438;0.00449831039514368;0.0159688081258626;0.0385935979945645
439;0.00348242506092694;0.0121283531024099;0.0297951204986038
440;0.00249780065904892;0.00834451198694308;0.0218786743680154
441;0.00176280318036061;0.00550517727420738;0.0163292476644996
442;0.00147053331058938;0.00442661420336384;0.0143212564721952
443;0.00137305592041348;0.00407041506581487;0.0137099547439576
444;0.00136615111945308;0.00402984103995245;0.0136569079707273
445;0.0013844472572136;0.00410715643584471;0.0138697789592908
446;0.00141361652118168;0.00423412289014167;0.0141567489850677
447;0.0014389676125951;0.00434801405698814;0.0143637321005752
448;0.00145617978981161;0.00445075382609257;0.0145734122895685
449;0.00146784664189465;0.00454292603822023;0.0147702957348908
450;0.00148164914315147;0.00463102661621808;0.0149131420243192
451;0.00149378124034461;0.00472151286944052;0.0150514031128021
452;0.00150384558250558;0.00481409846635445;0.0151837447058256
453;0.00151713194637533;0.0048981173433363;0.0152450819041559
454;0.00152427562260289;0.00497660121745838;0.0152500869793736
455;0.00151719484913848;0.00505222736609191;0.0152192437271075
456;0.00152002550145185;0.00511082237431313;0.0151918494765692
457;0.00152683823558742;0.00515740979974867;0.0151682131027484
458;0.00150610244051397;0.00521234546395291;0.0151254773438308
459;0.00148941915840804;0.00526828163974899;0.0150422649961229
460;0.00148764391080352;0.0053216359662365;0.0149151221558029
461;0.00147182808647395;0.00537106475136203;0.0148014734651941
462;0.00144969911816292;0.0054121958889705;0.0146809600133309
463;0.00143550886549131;0.00543926736027304;0.0145157609292198
464;0.00142992417150586;0.00545864029618199;0.0143537204781608
465;0.00142688346352485;0.00547802529629255;0.014191861458704
466;0.00140384375508874;0.00551652402584911;0.0139698452688786
467;0.00137820845837159;0.0055495298082166;0.0137395305698029
468;0.0013616222076689;0.00556076463920056;0.0135345564741376
469;0.00134107602430122;0.00557117449613183;0.0132990117437822
470;0.00131603499772246;0.00558171144615319;0.0130466368844875
471;0.00128863999659299;0.00558763464568633;0.0128234705030857
472;0.00126454151318913;0.00558771056469286;0.0125847410428017
473;0.00124578257415871;0.00558434823758421;0.0123224539455427
474;0.00123029414593775;0.00558918304703137;0.0120672985072884
475;0.0012125479421517;0.00559942604166721;0.0118288532147064
476;0.0011882635019513;0.00561220753570873;0.011618951128104
477;0.00118467485514581;0.00563944986929075;0.011492064499188
478;0.00120209816805298;0.00569641119445872;0.0115133520569003
479;0.00121877902150848;0.00580139367122981;0.0117552422950465
480;0.00125754035584821;0.005981768123335;0.0123337094904952
481;0.00133311757311864;0.0062576514725963;0.0133275698535436
482;0.00145652003195575;0.00664211692584488;0.0147629649874011
483;0.00161357924916516;0.00711359344208835;0.0165406940433615
484;0.00178306894639633;0.00764411422331433;0.0185348121084363
485;0.00194681184961717;0.00814158516156275;0.0204366734042995
486;0.00208441500448814;0.00854676311467825;0.0219884784974759
487;0.0021672807730706;0.00881920742966777;0.0228831290126221
488;0.00219324387573776;0.00892607432257914;0.023110274587857
489;0.00216298557055695;0.00884825623123376;0.0226890030004721
490;0.00209348301111214;0.00865111101344591;0.0217965777662078
491;0.0019991040325235;0.00837543907714813;0.020620075412399
492;0.00189719826231438;0.00806349160305966;0.0194139535694867
493;0.001790752755617;0.00773187337054314;0.0181625543142718
494;0.00168528626819953;0.00740046854233337;0.016912675272276
495;0.00158993748257937;0.00709352212069857;0.0157764872235768
496;0.00149676537083744;0.00680216052826356;0.0147096119096722
497;0.00139573855731383;0.00651273092016071;0.0136474357194294
