Sample;Name;Diameter;Volume;Unit.diameter;Unit.volume
MES20_R1_01;Meso20_1a;17;5;mm;mL
MES20_R1_02;Meso20_1a;17;5;mm;mL
MES20_R2_01;Meso20_2a;17;5;mm;mL
MES20_R2_02;Meso20_2a;17;5;mm;mL
MES20_R3_01;Meso20_3a;17;5;mm;mL
MES20_R3_02;Meso20_3a;17;5;mm;mL
MES65_R1_01;Meso65_1;17;5;mm;mL
MES65_R1_02;Meso65_1;17;5;mm;mL
MES65_R2_01;Meso65_2;17;5;mm;mL
MES65_R2_02;Meso65_2;17;5;mm;mL
MES65_R3_01;Meso65_3;17;5;mm;mL
MES65_R3_02;Meso65_3;17;5;mm;mL
MES120_R1_01;Meso120_1;17;5;mm;mL
MES120_R1_02;Meso120_1;17;5;mm;mL
MES120_R2_01;Meso120_2;17;5;mm;mL
MES120_R2_02;Meso120_2;17;5;mm;mL
MES120_R3_01;Meso120_3;17;5;mm;mL
MES120_R3_02;Meso120_3;17;5;mm;mL
MES220_R1_01;Meso220_1;17;5;mm;mL
MES220_R1_02;Meso220_1;17;5;mm;mL
MES220_R2_01;Meso220_2;17;5;mm;mL
MES220_R2_02;Meso220_2;17;5;mm;mL
MES220_R3_01;Meso220_3;17;5;mm;mL
MES220_R3_02;Meso220_3;17;5;mm;mL
