wl;a1_p;a2_p;a3_p;a4_p;a5_p;a6_p;a7_p;a8_p;a9_p;a1_nap;a2_nap;a3_nap;a4_nap;a5_nap;a6_nap;a7_nap;a8_nap;a9_nap;a1_phy;a2_phy;a3_phy;a4_phy;a5_phy;a6_phy;a7_phy;a8_phy;a9_phy
491;0.537767120880125;0.46250365017449;0.311828287918394;0.256538394171878;0.73509908957743;0.792882002256481;0.38930655532674;0.508128603111866;0.440512860223004;0.349320281226739;0.280492817340541;0.189682203152623;0.161955508010015;0.361955851080344;0.393856345073646;0.226794438037573;0.199827078923767;0.203170579618069;0.188446839653386;0.182010832833949;0.12214608476577;0.0945828861618629;0.373143238497086;0.399025657182836;0.162512117289167;0.308301524188099;0.237342280604935
490;0.540409946040647;0.464731918922869;0.314535011962128;0.258262836547957;0.737640406189294;0.794278470308945;0.391776520239071;0.508977625503288;0.442969767873034;0.352380417922161;0.282797823880278;0.191381222248196;0.163134509937926;0.365350225922232;0.397235944300278;0.228503676734572;0.201763332069965;0.204804775895733;0.188029528118486;0.18193409504259;0.123153789713932;0.0951283266100307;0.372290180267062;0.397042526008668;0.163272843504499;0.307214293433323;0.238164991977301
489;0.543006852039837;0.467032505224791;0.316578078297297;0.260124668175054;0.74033701846619;0.796609982331716;0.394210670125636;0.509568800301448;0.445024341561352;0.35571328115473;0.285598887250508;0.193060891292243;0.164533340866564;0.369153042317731;0.401251243247599;0.230985725995394;0.203791963635008;0.206322017335698;0.187293570885107;0.181433617974284;0.123517187005054;0.0955913273084899;0.371183976148459;0.395358739084117;0.163224944130243;0.30577683666644;0.238702324225654
488;0.546193329314134;0.469597248568716;0.319017771020613;0.261901702842098;0.743411814395989;0.797732694772127;0.396505374159496;0.510266002339463;0.446955143325952;0.359033095237837;0.288246211706861;0.194871303165209;0.166075593032486;0.372779528869773;0.405095376520636;0.23320249298091;0.206014436384207;0.209053131753675;0.187160234076296;0.181351036861855;0.124146467855404;0.0958261098096127;0.370632285526216;0.392637318251491;0.163302881178586;0.304251565955256;0.237902011572277
487;0.549029066703168;0.472297160888752;0.321290643413342;0.263691199627399;0.747357375652616;0.800788779341936;0.399138643176183;0.511944180241472;0.449247938848398;0.361754258072962;0.290461893020904;0.196773269757063;0.167509399060411;0.376260846976776;0.408689057451826;0.235088870620523;0.208162898956964;0.211323311294943;0.187274808630206;0.181835267867848;0.124517373656279;0.0961818005669887;0.37109652867584;0.39209972189011;0.164049772555661;0.303781281284508;0.237924627553455
486;0.552145452800141;0.47509205780986;0.323616963415924;0.265432009091146;0.751721091091966;0.804653420778726;0.401931135911755;0.514178951434174;0.45222698593086;0.364444739351796;0.292910999516965;0.19818656025815;0.168656600006418;0.378576227229446;0.412182570443959;0.236668822913365;0.209821099973719;0.213439617535875;0.187700713448346;0.182181058292895;0.125430403157774;0.0967754090847281;0.373144863862521;0.392470850334767;0.165262312998389;0.304357851460455;0.238787368394986
485;0.555914797891064;0.478631069825127;0.326190343838876;0.267452879590726;0.756188073288524;0.8084787786496;0.404974021152916;0.516652721961507;0.455270211912058;0.367745527018809;0.295029100787218;0.199873421121311;0.170126412610221;0.38232261775032;0.416037368229586;0.238871397724003;0.211972242979298;0.215462611743431;0.188169270872255;0.183601969037909;0.126316922717565;0.0973264669805047;0.373865455538204;0.392441410420014;0.166102623428913;0.304680478982209;0.239807600168627
484;0.559794157948667;0.481659235872617;0.328530790874458;0.269520647589615;0.762673415781834;0.814286870664529;0.408028199369664;0.520626102327902;0.458614422959532;0.370736024053689;0.297401266974087;0.201531677100657;0.171491095424389;0.385248477957213;0.420075546401063;0.241006442299598;0.214253207198153;0.21743612403453;0.189058133894978;0.18425796889853;0.126999113773802;0.0980295521652269;0.377424937824621;0.394211324263466;0.167021757070065;0.306372895129749;0.241178298925002
483;0.564444184331831;0.486000611935688;0.331297170292416;0.271621725059798;0.768501332899319;0.820427956034583;0.411266391014059;0.525121712961935;0.462661288352351;0.374037282757771;0.300510995919808;0.203477908278042;0.172988999002876;0.389302493175026;0.423889087241755;0.242980584907148;0.21625199326966;0.220056303218621;0.190406901574061;0.185489616015879;0.127819262014374;0.0986327260569217;0.379198839724292;0.396538868792828;0.16828580610691;0.308869719692275;0.24260498513373
482;0.569590135365139;0.490292821473618;0.33424126870079;0.273768075147427;0.77513496660417;0.827808751791421;0.414253320722891;0.529779569766629;0.467509729267763;0.376929656307073;0.302891724355183;0.205016270910999;0.174358716161583;0.391501744078004;0.427458963297794;0.244676495855629;0.218157610685227;0.221850709150995;0.192660479058066;0.187401097118436;0.129224997789791;0.0994093589858434;0.383633222526166;0.400349788493627;0.169576824867263;0.311621959081402;0.245659020116768
481;0.575144630128064;0.495245289819178;0.337199991678078;0.276065344345386;0.783359747377195;0.836355267964419;0.417518673090579;0.535598549758393;0.473321403164499;0.379832092871106;0.304791179109008;0.20649728644524;0.175707760273043;0.394918658369844;0.431157773340337;0.246544829398927;0.22022346964996;0.223801335623954;0.195312537256958;0.190454110710171;0.130702705232838;0.100357584072343;0.388441089007351;0.405197494624083;0.170973843691652;0.315375080108433;0.249520067540545
480;0.581520351839114;0.500569419344226;0.340174388315672;0.278589528680607;0.792559717421467;0.846547208926814;0.421609589395619;0.543130793216398;0.479023313003678;0.382908269025023;0.307128652847205;0.207978228363474;0.176914791634847;0.397946432495772;0.435009052694139;0.248539901295763;0.222111115529446;0.225401017624106;0.198612082814091;0.193440766497021;0.132196159952198;0.10167473704576;0.394613284925695;0.411538156232676;0.173069688099856;0.321019677686952;0.253622295379572
479;0.588383843594527;0.506236493945941;0.343474246369017;0.281371712256404;0.803870784113795;0.858901002679243;0.42614391373681;0.55166332154261;0.485748051371148;0.386319191632202;0.309943386707031;0.210011650328495;0.178470845298057;0.401728231488215;0.43932100603804;0.250384141913041;0.224374848155899;0.228456043889397;0.202064651962325;0.19629310723891;0.133462596040522;0.102900866958347;0.40214255262558;0.419579996641203;0.175759771823769;0.327288473386711;0.257292007481751
