wl;Ed_20;Ed_80;Ed_200
325;1.51876735737883e-06;0.00013758255084265;0.000453424743442334
326;4.47399109524488e-05;0.000149108864877295;0.000292913008049668
327;5.02252682634416e-05;0.000170280236556211;0.000156705326382273
328;1.48487509243337e-05;0.000196663887197491;0.000162283853804591
329;8.72503216714063e-06;0.000147492966038516;0.000185429709638587
330;2.06006922668783e-05;9.28939678764888e-05;0.000197254766735359
331;3.70184564536697e-05;9.70984307797471e-05;0.000182063963831866
332;4.20623434480226e-05;8.96290564443821e-05;0.000239009919624815
333;3.40214285969885e-05;9.34451922923931e-05;0.000339534667163429
334;1.49671101455496e-05;0.000205310257755024;0.000388767949336458
335;4.51081356780059e-06;0.000238750109251577;0.000362871649004795
336;9.7075540940466e-06;0.000163332938829686;0.000288273397444471
337;2.12356553405323e-05;0.000180868539031005;0.000353526512970741
338;3.67372995711328e-05;0.000221245892522902;0.000400005916481979
339;5.2640832677019e-05;0.000210482328872771;0.000281952087939954
340;2.95377665948224e-05;0.000206957329734281;0.000214656992355292
341;-9.79424568324587e-06;0.000200151842096731;0.00022102342241736
342;1.97611743137575e-06;0.000135034093161618;0.000256596116925709
343;2.95244518582437e-05;0.000121970207035471;0.000299424377024958
344;5.26211701185308e-05;0.000178489982038031;0.000331331109655411
345;3.53862772314463e-05;0.000172663803132548;0.000327618045924922
346;1.60207951766392e-05;0.00014922790416288;0.000317966958801033
347;3.32684577561044e-05;0.000160904110431274;0.000332946988738832
348;3.96804575385285e-05;0.000158844208639808;0.000353258394963975
349;2.95596564250299e-05;0.00014424885619913;0.00036913505937434
350;1.11714443077786e-05;0.000143577389860557;0.000372166662037241
351;-2.8206076643938e-06;0.000140445812041984;0.000342659846122622
352;-4.6597318005914e-06;0.000130826108248405;0.000282435558934892
353;1.23718368903811e-05;0.000132831387150641;0.000249937650594204
354;2.84426686838398e-05;0.000136396895612589;0.000242675401728059
355;2.02629033091913e-05;0.000128176023819553;0.000250290047766215
356;9.29411223988106e-06;0.000132141027455865;0.000216843326290585
357;7.56677105546582e-06;0.000172171024020131;0.000218218814636372
358;3.60081425942007e-05;0.000298206536797247;0.000504040717899986
359;5.94372571820986e-05;0.0004425252511013;0.000886769434517639
360;6.21180161217107e-05;0.000568522168954816;0.00123586293697151
361;7.44062604896476e-05;0.000699742108311366;0.00139874326408854
362;9.48671076135538e-05;0.000812225399868817;0.00147735043912189
363;0.000117011236874615;0.000870384985067503;0.00165138473568074
364;0.000120099940336188;0.000927107847274792;0.00180339255236343
365;0.000107707157517349;0.00098723354568043;0.00190830555332719
366;0.000115862771397656;0.00101042760245316;0.00198746298438799
367;0.000122118926537268;0.00103902306480598;0.00206279689852817
368;0.000112214805726086;0.00108268866254326;0.002111862677507
369;0.000105003817178579;0.0009895163882327;0.00184794416416832
370;9.40907350645811e-05;0.000763669385658633;0.00135493818591366
371;6.27682162718668e-05;0.000446603613623771;0.000851665962110348
372;3.23343096686124e-05;0.000233592903246981;0.000516183554290576
373;1.40589713743792e-05;0.000172621155509458;0.000395747021509164
374;2.11283805791575e-05;0.000126217196995474;0.000337542072746816
375;3.26262325960216e-05;0.000117697055284293;0.000329531374089932
376;3.03251476395005e-05;0.000162499364182012;0.000358191825485648
377;2.2212237993423e-05;0.000188985492742737;0.000375413038338688
378;1.21550713429921e-05;0.000191839636885827;0.000383736589141454
379;3.53450194359993e-06;0.000192113781588454;0.000415855012825465
380;1.17343244525268e-05;0.000201204028155574;0.000447909912563912
381;3.38902345159268e-05;0.000220393844184099;0.000472523996330754
382;2.6757933821535e-05;0.00022775889967754;0.000492282324612362
383;1.34373311782065e-05;0.000229182430457807;0.000538440423952777
384;1.97255820885883e-05;0.000232562371799694;0.000633233802930358
385;3.52548225300963e-05;0.000245575409385122;0.000591484785224976
386;5.07572070871731e-05;0.000268192161458651;0.000476540263169136
387;4.77005630802868e-05;0.000299306427213281;0.000556891474649481
388;4.28506181512251e-05;0.000309156598510936;0.000642178873760857
389;4.23052606086691e-05;0.000296844031643217;0.000664233018037426
390;3.55713836260659e-05;0.000341421673464721;0.000724092445070252
391;2.90896377060569e-05;0.000397422794591451;0.000791659479934667
392;3.15444914042337e-05;0.000401115018918682;0.000820865204491234
393;3.97299705228031e-05;0.000421511274025053;0.000859249135809865
394;4.89206279634153e-05;0.00045544367266705;0.000899722845439506
395;4.68307654538456e-05;0.000428862339205077;0.000851883658524177
396;4.43137871478151e-05;0.000439067775650611;0.000901596404333024
397;5.4710764044457e-05;0.000566352499366507;0.00121359869499474
398;0.000118125147106311;0.000916450548914931;0.00206200862023359
399;0.000217382199121094;0.00144424142912312;0.00328863224103629
400;0.000320231207200472;0.00207540309299425;0.00463274553648998
401;0.000408893729422945;0.00255334544267758;0.00566201776010905
402;0.00047420040372265;0.00284754094247186;0.00632522582626671
403;0.000514889815784209;0.00319741112181595;0.00705388697366071
404;0.000547713400298693;0.0034996979647409;0.00768916479663798
405;0.000583281323352738;0.00366930171748339;0.00808994169621025
406;0.000605045461652912;0.00371882409648023;0.00820914664077031
407;0.000587697245952326;0.003551404248852;0.00783479402943783
408;0.000483231045030422;0.00296022702946196;0.00654118913853308
409;0.000367947034739277;0.0022628859936971;0.00500554929242586
410;0.000280035129439866;0.00165143230002049;0.00364210976730274
411;0.000244137187410838;0.0013417400900522;0.00291248587391351
412;0.000242632926132087;0.00124004753837941;0.00266901304333465
413;0.000255789408516496;0.00123502142568082;0.00271638917352564
414;0.000283236143904215;0.00130825282624516;0.002846836898128
415;0.000317842733483967;0.00142025087679385;0.00300474099728996
416;0.000347714786127255;0.00151587042594661;0.00324032081847325
417;0.000376432516031991;0.00161073649022082;0.00348006815879443
418;0.000406922455012181;0.0017128229803961;0.00369472901878505
419;0.000449064413870715;0.00183894676641573;0.00393659618204865
420;0.000493752851608645;0.00197708877158079;0.00420961234466708
421;0.000527784957953711;0.0021090338364498;0.00451175883223736
422;0.000569963519739818;0.00225227352189731;0.00480292244161248
423;0.000622411662458322;0.00240867982947908;0.0050843908430531
424;0.000675659251088271;0.00256925894099265;0.00539304609395261
425;0.000728510635871065;0.00273195431228117;0.00572277593168377
426;0.000781563502668324;0.00290120570787868;0.00607978489318811
427;0.000820762044186537;0.00299925038638135;0.00632164127661497
428;0.000925610298121567;0.00340167403927438;0.00710779723531375
429;0.00120735676175837;0.0046339504323624;0.00934812963286816
430;0.00183500476253729;0.00752232226702754;0.0146293699840935
431;0.00276894380999389;0.0118944799565543;0.0226691113526556
432;0.00361244638815814;0.0158970784267093;0.0300945581664581
433;0.00436685957576869;0.0194708341460716;0.0367567069668205
434;0.00505043455854365;0.022643432518302;0.0426654390211894
435;0.00568048705984551;0.0255677709595066;0.0480757143092086
436;0.00611441050888354;0.0275654220129803;0.051767620697651
437;0.00607452782293939;0.0272769888718657;0.0513214834562987
438;0.0054460443304614;0.0241909053588701;0.0457760758989742
439;0.0042800043414727;0.018561539731342;0.035576034228101
440;0.00311827777370308;0.0129388788008696;0.0253351341756186
441;0.00223295693596704;0.00862618745136861;0.0174457995493241
442;0.00187704533113907;0.00684155087027604;0.0141546479977548
443;0.00174585615972944;0.00615611299230103;0.0129136999306735
444;0.00172216503770422;0.00600746836456608;0.0126899319200519
445;0.00175527583329126;0.0061132329274814;0.0128764347118551
446;0.00180050903211262;0.00629857689907373;0.0132286060153648
447;0.0018244178983281;0.00642502233385586;0.0135329347719082
448;0.00185314218523319;0.006565817030975;0.0138154728125073
449;0.00188283627964717;0.006716231614786;0.0140875616221099
450;0.00190107075036791;0.0068594597657883;0.0143847893383441
451;0.00191562492857888;0.00698296455291321;0.014679650868771
452;0.00192876497804491;0.00708534812692515;0.0149505673798771
453;0.00193989945062673;0.0071915340725447;0.0151564387547732
454;0.00195050017006935;0.00729366608504736;0.015353897034316
455;0.00196121184205051;0.00738393206395891;0.0155970438752392
456;0.00195742142445219;0.00748296960898958;0.0158248008755214
457;0.00194576445164228;0.00758162422460168;0.016015457380014
458;0.00195475782377518;0.00764553387371055;0.0161449957272639
459;0.00195092169054568;0.00769585632883404;0.0162671121188986
460;0.00192347095124183;0.00774382331257683;0.0164090840779834
461;0.00190754718066225;0.00779632305807327;0.016567063933707
462;0.00189713671198411;0.00784853516078837;0.0167083401496201
463;0.00187872677053256;0.00789195136497696;0.0167883824183241
464;0.0018597807386564;0.00792240863850183;0.0168313164626762
465;0.00184037699301498;0.00794323521274493;0.0168605515545597
466;0.00181380009634104;0.00797039732102356;0.016923025651422
467;0.00178877393379944;0.00799287950127794;0.0170073398459842
468;0.00177051462691613;0.00800587019524992;0.0170969251267252
469;0.00174605892954619;0.00804484343172338;0.0171243795548115
470;0.00171794760282916;0.00807827404794422;0.0171049042136603
471;0.00169673937891724;0.00802654943683056;0.0170886430246134
472;0.00166472733332339;0.008006403764457;0.0170911616315495
473;0.00162209702190578;0.0080413819244523;0.0171139128899849
474;0.00159932727186798;0.0080304454285746;0.0171137200887488
475;0.0015811644170366;0.00801182109256399;0.0171212676539498
476;0.00155123157810212;0.00803030152604396;0.0171703500551045
477;0.00153576161257029;0.00805960221546701;0.0172203563867756
478;0.00154257305890125;0.00811932425018311;0.0173388609169874
479;0.00156879871476048;0.00825273457752109;0.0176787344424549
480;0.00163299321174086;0.00850232747509332;0.0182842342011016
481;0.00174771441017455;0.00889527872319447;0.0191977695147161
482;0.00191889438770336;0.00942494569009343;0.0204641103110994
483;0.00213896163475926;0.01006807238422;0.0219994968243077
484;0.00239889865578499;0.0107996277819241;0.0236909668308122
485;0.00264063316223507;0.0115058359073255;0.0253316938763986
486;0.00283149880913675;0.0120983121539587;0.0267339517012396
487;0.00295447474325103;0.0124813876692919;0.0276782362553786
488;0.00299985022711376;0.0126277705933747;0.028060389337987
489;0.00296264591838606;0.0125248628351221;0.0278227874751137
490;0.00286610209860241;0.0122442696219921;0.0271985694652113
491;0.00272802147799544;0.011848331888994;0.0263150060708196
492;0.00256692574025819;0.0114158968809411;0.0252838926916275
493;0.00240142818624703;0.0109570290891612;0.024198921810631
494;0.00224386212570694;0.0104907485041007;0.023128484568946
495;0.00209507959166857;0.0100328323867844;0.0220802148320175
496;0.00195503404193457;0.00958861710245542;0.0210845555166228
497;0.00182295004341426;0.0091612888462678;0.0201707364272391
498;0.0016875857006767;0.00874221882311618;0.0192474534292927
499;0.00155243738003189;0.00833841323010632;0.018315550803531
500;0.00143331538483367;0.0079665637754966;0.0174294193754971
501;0.00133796951037572;0.00765629718675795;0.0166715047848385
502;0.00127069310721945;0.00742568858055611;0.0160979056901003
503;0.00121878422220448;0.00725340167900891;0.0156871123686699
504;0.001188480605924;0.00714143619446591;0.0154295130464164
505;0.00119489901214037;0.00710104851836214;0.0153205867019017
506;0.00121678977497785;0.00710621874816513;0.0152923878155416
507;0.00124478979097504;0.00713708911981189;0.0153121646477169
508;0.00127779051975184;0.0071675022722146;0.0153948160999095
509;0.00131089472395308;0.0071998667867042;0.0154718962019402
510;0.0013393401320989;0.00723546975442255;0.0154812457013314
511;0.00135901079745923;0.00724207156054958;0.0154914121811992
512;0.00136801329498603;0.00721104488622601;0.0154703479840635
513;0.00136540109655069;0.00714211029893725;0.0153126571718082
514;0.00135374585624891;0.00705095005202937;0.0150742339380146
515;0.00133339417981819;0.00693865751106519;0.0147846539819645
516;0.00129790448997487;0.00676087148026182;0.0144617039957404
517;0.0012524653281141;0.0065463969203378;0.0140999490564863
518;0.00120462751269545;0.00634124043417054;0.0136862532805477
519;0.00116198001902509;0.00612780577510156;0.0132583239716796
520;0.00112450433067981;0.00590921992541227;0.0128295369837034
521;0.00108160315412891;0.00570442533960476;0.0123970801736534
522;0.00103778407924054;0.00550496231170665;0.0119624255995929
523;0.000996457874531797;0.00530487123407019;0.0115312867115572
524;0.000954461633421644;0.00511198163265466;0.0111517428967799
525;0.000913757233849424;0.00493029022708303;0.0108011048975214
526;0.000879202179061589;0.00476665237760397;0.0104022317306517
527;0.000848400228198686;0.00460681569953734;0.0100505556625636
528;0.000822207690573246;0.0044491890482294;0.0097700647188396
529;0.000806890378197365;0.0043118236084587;0.00947796331019909
530;0.000802114968483416;0.00420014212586097;0.00922429106443779
531;0.000806833460122627;0.00411853045432057;0.00907414222811264
532;0.000823583608759687;0.00406471293996274;0.00901983948229798
533;0.000856570548215864;0.0040604597799489;0.00909965197118016
534;0.00089932155572814;0.0041219783046451;0.00930814129017325
535;0.00100436879919616;0.00437086935272463;0.00996324406867576
536;0.00123194167995312;0.00496207517088618;0.0114495052670924
537;0.00169265738730892;0.00622538394145014;0.0145281136021122
538;0.00248333678487668;0.00843722229246897;0.0198665882840838
539;0.00372480262596941;0.0119245267120644;0.0282663937447602
540;0.00538323810556831;0.016676747984172;0.0396972913170897
541;0.00730019478600285;0.0223712804213134;0.0533562873026943
542;0.00907537203020826;0.0281744574400898;0.0671422259846208
543;0.0103528646851103;0.0330274628066633;0.0785519872794535
544;0.0107964206891026;0.0358579611199613;0.0850662298446247
545;0.0102843304064552;0.0354679935074821;0.0839793395135598
546;0.00897305043745843;0.0319358032871813;0.0755487952552574
547;0.00722584607008873;0.0259416060940926;0.0614742206036956
548;0.00553395858360581;0.0196836195873041;0.0468356905469748
549;0.00423562206017721;0.0146659415686114;0.035101585002164
550;0.00332187805520991;0.0111202553699351;0.0267068287467448
551;0.00269451844945062;0.00877192337728117;0.0210659082973521
552;0.00220136729079447;0.00710929266594371;0.0170925235942937
553;0.00176204121125216;0.00575925407741703;0.0138608758741431
554;0.00134331909667594;0.00453738924972246;0.0109296361142743
555;0.000986648646777679;0.00350297078370637;0.00845159108877007
556;0.000713187922953606;0.002707510350192;0.00653122220923906
557;0.00053796567086596;0.00218863774280944;0.00524558911215656
558;0.000421987803661105;0.00185193235116026;0.00441485072475842
559;0.000349364795001664;0.00164136431120951;0.00390759966585088
560;0.000312542743081448;0.00150087390207911;0.00357284921741216
561;0.000288820468416544;0.0013992486634122;0.00333058088988855
562;0.000265210270163528;0.00131206436884676;0.00311935423793384
563;0.000248521596141866;0.00124040205837224;0.00294432269425382
564;0.000234811662848548;0.00118112233441464;0.00281095310269397
565;0.000218600757804069;0.00113114958926005;0.00272894810853719
566;0.000208699248835076;0.00110833852767605;0.00267409711263072
567;0.000206031626973005;0.00110781653243337;0.00264341911728928
568;0.000205438418523079;0.00109333379281699;0.00265320581790695
569;0.000204875545133897;0.00109407098890459;0.00268954539878266
570;0.000204433398784567;0.00113317985061387;0.00275484833837817
571;0.000212736941488842;0.00118272977229093;0.00289098229228458
572;0.000247603897846943;0.00132860945376088;0.00328871043402076
573;0.000333439720214142;0.00171777806428198;0.00422273159228236
574;0.000494339972136188;0.00245562262893806;0.00602423248286443
575;0.000731372757473188;0.00352590954691627;0.00867546268446349
576;0.00100025188947282;0.00466083488762219;0.0114854225956786
577;0.00126739940256908;0.0056561750171451;0.0139687661549295
578;0.00149975793002877;0.00631195932855923;0.0156531340265994
579;0.00169394602360943;0.00662869402074396;0.0164522884243458
580;0.00185922715787003;0.00671672108886897;0.0166359088395777
581;0.00203056058662667;0.0068692893684153;0.0169962835872756
582;0.00218817935007782;0.00708938222440213;0.0175041547894794
583;0.00232054620997514;0.00738778316221357;0.0181725442303402
584;0.00243294411387619;0.00773721692323531;0.018988620200625
585;0.00253035398033581;0.00810240631325835;0.0198735212100771
586;0.00263001659859814;0.00846575191780758;0.0207816504323295
587;0.00262549652935758;0.00852379699580348;0.0209650768053761
588;0.00248914733776893;0.00820019654732856;0.0202175029579043
589;0.00226593893358374;0.00766509607638928;0.0188873359874029
590;0.00204219452470179;0.00710678583962903;0.0175035568205239
591;0.00189662850585786;0.00669650127146358;0.0165487552537691
592;0.00175932753749981;0.00631803387181496;0.0156263916502162
593;0.00159821845184364;0.00590265693427458;0.0145772787935952
594;0.00136170659326207;0.00530621745176291;0.0131348798283029
595;0.00113059517543753;0.00475621006371561;0.0118279035857693
596;0.00096163190221792;0.00441199484961254;0.01101716100114
597;0.000917116014258462;0.00445313076185008;0.0110359021005653
598;0.000944246156343299;0.00469762653468232;0.0115222077265969
599;0.000957876242469452;0.00485857134330474;0.0119145383441509
600;0.000905652673107537;0.00481256676087169;0.0118359709541302
601;0.000786584423885674;0.00457103545709282;0.011279373588447
602;0.000671577986112885;0.00436083776164132;0.0107457247231074
603;0.000595806810878537;0.00426037238626906;0.0104874363967473
604;0.000592998376812593;0.00434966396747518;0.0107451801090056
605;0.000642584109466115;0.00459931430182928;0.0113599680037145
606;0.000907198164257425;0.00547223331674421;0.0134801878838599
607;0.00160389217113576;0.0075780068590651;0.0186720930415077
608;0.00336276492735327;0.0126883832756693;0.0312265719381879
609;0.00618334053797859;0.0207861012698401;0.0510904404374671
610;0.0088321223346154;0.0283251988517863;0.0696155887372606
611;0.0103135809126424;0.0325662188478555;0.0801021880510479
612;0.00960696627355414;0.0307215993613137;0.0757301923195063
613;0.00789447535823451;0.0260036883779621;0.0642823556466249
614;0.00585129065314913;0.0202920515355337;0.0503194557159655
615;0.00423173062553808;0.0157441339788411;0.0390870814050426
616;0.0030995952849551;0.0125582844919203;0.0311166040123113
617;0.00250110701202657;0.0108773662712347;0.0268080553705906
618;0.00226874813729683;0.0102089221078908;0.0250778057742148
619;0.00224795259195205;0.010134227365873;0.0248745314536812
620;0.00224929454300229;0.0101551568888376;0.0248886591588333
621;0.00220703170297798;0.0100688382563193;0.0246092917831357
622;0.00207959572420124;0.00974964981513618;0.0237434029593653
623;0.0018967366790505;0.00927571984021019;0.0225986939358238
624;0.00169951017633027;0.00874217386312201;0.0213327936125158
625;0.00153059489049157;0.00825157468017403;0.0201125105652017
626;0.00139714289868456;0.00790311833556693;0.0192380724770993
627;0.00134109683225272;0.00779914494826305;0.0189836138570594
628;0.00146908472295466;0.00814543733114191;0.0198935163519935
629;0.00165839928956493;0.00863294851901825;0.0211211607571675
