B7;B8;B9;B10;B11;B12;C4;C5;C6;C7;C8;C9;F7;F8;F9;Wavel.
0,0579;0,055399999;0,0601;0,052200001;0,049800001;0,047899999;0,064999998;0,064300001;0,057799999;0,0594;0,056699999;0,0557;0,064099997;0,0583;0,052700002;470
0,057799999;0,055300001;0,0601;0,052200001;0,049899999;0,047899999;0,064900003;0,064300001;0,057700001;0,0592;0,056699999;0,055599999;0,063900001;0,0581;0,052499998;472
0,0579;0,055199999;0,0601;0,052099999;0,050000001;0,0482;0,064800002;0,064499997;0,057799999;0,059;0,056600001;0,055599999;0,063600004;0,057799999;0,052200001;474
0,057999998;0,055300001;0,060199998;0,052099999;0,0502;0,0484;0,0647;0,0647;0,057999998;0,058899999;0,056600001;0,055599999;0,0634;0,057500001;0,052099999;476
0,058499999;0,0557;0,060600001;0,052499998;0,050700001;0,048900001;0,065099999;0,065200001;0,058499999;0,059;0,056899998;0,0559;0,063600004;0,057599999;0,052200001;478
0,058600001;0,0559;0,060600001;0,0526;0,050999999;0,049199998;0,065099999;0,065800004;0,058699999;0,059;0,057;0,056000002;0,063600004;0,057599999;0,052299999;480
0,059;0,056200001;0,060899999;0,052900001;0,051399998;0,049699999;0,065499999;0,066100001;0,059099998;0,058899999;0,057100002;0,0561;0,063500002;0,057500001;0,052200001;482
0,058899999;0,056000002;0,060899999;0,0528;0,051399998;0,049800001;0,065300003;0,066100001;0,059099998;0,058600001;0,0568;0,0559;0,063000001;0,057;0,051800001;484
0,059099998;0,056499999;0,0612;0,052999999;0,051800001;0,050299998;0,065700002;0,066200003;0,0594;0,058499999;0,0568;0,0559;0,062700003;0,0568;0,0517;486
0,059300002;0,0568;0,061500002;0,053300001;0,052200001;0,0506;0,066;0,066500001;0,059700001;0,058499999;0,056899998;0,056000002;0,0625;0,0568;0,0517;488
0,059900001;0,057599999;0,0623;0,053800002;0,052999999;0,0513;0,0669;0,067000002;0,0605;0,058800001;0,0572;0,056400001;0,062600002;0,056899998;0,051800001;490
0,060199998;0,057999998;0,062600002;0,054200001;0,0535;0,051899999;0,067199998;0,067500003;0,060899999;0,058600001;0,057100002;0,056400001;0,062199999;0,056600001;0,0515;492
0,060400002;0,0583;0,062899999;0,054400001;0,053800002;0,052299999;0,067500003;0,067900002;0,0612;0,058600001;0,057100002;0,056400001;0,061999999;0,056400001;0,051399998;494
0,060899999;0,059300002;0,063299999;0,055;0,0546;0,052999999;0,068099998;0,068599999;0,061799999;0,058600001;0,057399999;0,056600001;0,062100001;0,056600001;0,0513;496
0,061500002;0,059700001;0,063900001;0,0557;0,055399999;0,0539;0,068899997;0,069300003;0,0625;0,058800001;0,057399999;0,0568;0,061799999;0,056299999;0,051199999;498
0,062100001;0,0605;0,064400002;0,056400001;0,056299999;0,0548;0,069600001;0,070299998;0,0634;0,059;0,057599999;0,057100002;0,061900001;0,056400001;0,051199999;500
0,062600002;0,061099999;0,064900003;0,057;0,057100002;0,055599999;0,070200004;0,070900001;0,064000003;0,059099998;0,057700001;0,0572;0,061700001;0,056299999;0,051100001;502
0,063100003;0,061799999;0,065499999;0,057799999;0,057999998;0,056499999;0,071000002;0,071699999;0,0647;0,059300002;0,057799999;0,057399999;0,0616;0,056299999;0,051100001;504
0,0638;0,062600002;0,066100001;0,058699999;0,059099998;0,057700001;0,071800001;0,072700001;0,0656;0,059500001;0,0579;0,057500001;0,061500002;0,056299999;0,050999999;506
0,064499997;0,0634;0,066799998;0,059500001;0,0601;0,058699999;0,072700001;0,073700003;0,066399999;0,059799999;0,058200002;0,057799999;0,061500002;0,056299999;0,050999999;508
0,064900003;0,063900001;0,067400001;0,060199998;0,060899999;0,059500001;0,073299997;0,074199997;0,067000002;0,059999999;0,0583;0,057999998;0,0614;0,056200001;0,050999999;510
0,065899998;0,064999998;0,068499997;0,0614;0,0625;0,061000001;0,074500002;0,075499997;0,0682;0,060400002;0,058600001;0,0583;0,0612;0,0561;0,050900001;512
0,066500001;0,065700002;0,0691;0,062100001;0,063500002;0,061999999;0,075199999;0,076300003;0,068999998;0,060800001;0,058899999;0,058499999;0,061099999;0,0561;0,050900001;514
